gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Germ.PGC	Germ.oocyte	Germ.oogonia_STRA8	Germ.oogonia_meiotic	Somatic.OSE	Somatic.granulosa	Somatic.preGC_IIa	Somatic.preGC_IIb
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0288FD89F	ACVR2A	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-SC0B3D321CC	ACVR2A	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0FA8B4931	ACVR2A	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC02D192370	ACVR2A	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0021FE823	ACVR2A	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-SC0E760DE88	ACVR2A	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0BDA1C176	ACVR2A	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC08375F742	ACVR2A	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC0464F1C6E	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC052486D3E	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC0C97FACEA	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC0BACF0481	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC0F5A1D137	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC061191F76	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC00694A66B	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-SC08FDDEC16	ACVR2A	0.124	0.18	0.138	0.22	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC05FF723A3	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC00DB2B867	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC0C676F3BE	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC0D389E644	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC0079A1C11	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC011C55B71	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC0E5E4119C	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-SC0819046AF	ACVR2A	0.124	0.18	0.138	0.239	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	NODAL_receptor_IbIIa_CFC1	CPI-SC08F1D4358	ACVR2A	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-SC08C72892F	ACVR2A	0.017	0.027	0.002	0.009	0.077	0.051	0.071	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	TGFR_AVR2A	CPI-SC001669E22	ACVR2A	0.124	0.18	0.138	0.311	0.086	0.051	0.074	0.063
ACVR2A	P27037	True	AVR2A_HUMAN	TGFR_AVR2A	CPI-SC023986FB9	ACVR2A	0.124	0.18	0.138	0.311	0.086	0.051	0.074	0.063
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-SC07C452E3D	BMPR2	0.001	0.044	0.004	0.006	0.0	0.003	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-SC05B4B8690	BMPR2	0.001	0.044	0.004	0.006	0.0	0.003	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-SC00DF87C38	BMPR2	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-SC04771EF53	BMPR2	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-SC0BD23E626	BMPR2	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC070B9F112	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC0915DDE22	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC00D19A858	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC0B1EBCCC6	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC02AFDCE1F	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC0B118E8DA	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-SC0A1278CD8	BMPR2	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC058533A46	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC0C403F032	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC07F8BC578	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC0DDF53DDB	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC0DA028FF9	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC0E866CD7F	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC0A76B562F	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC090BF166F	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-SC039AFE4AD	BMPR2	0.188	0.091	0.159	0.239	0.104	0.458	0.106	0.332
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2_ACVR1B	CPI-CC0A69D0835	BMPR2	0.188	0.091	0.159	0.205	0.077	0.051	0.071	0.074
BMPR2	Q13873	True	BMPR2_HUMAN	TGFR_BMPR2	CPI-SC0FDB4B6D9	BMPR2	0.195	0.091	0.159	0.311	0.141	0.172	0.128	0.144
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-SC079BB7A02	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-SC063D5B0A1	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-SC0F78051B8	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0AFC21177	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-SC06FA9E664	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC07611BF54	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0AD71E0D3	ACVR1	0.124	0.034	0.057	0.044	0.086	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-SC0A978EC39	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-SC0A9057425	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-SC0EBF691F3	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC028D7588F	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-SC0D868E29E	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC07323E253	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0300AB2DF	ACVR1	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-SC00DF87C38	ACVR1	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-SC04771EF53	ACVR1	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-SC0BD23E626	ACVR1	0.195	0.034	0.057	0.044	0.101	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-SC0C68323CF	ACVR1	0.053	0.034	0.057	0.044	0.101	0.051	0.063	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta_receptor2	CPI-SC01AADFEB3	ACVR1	0.089	0.005	0.057	0.034	0.041	0.051	0.045	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta_receptor2	CPI-SC0F36DD437	ACVR1	0.089	0.005	0.057	0.034	0.041	0.051	0.045	0.037
ACVR1	Q04771	True	ACVR1_HUMAN	TGFbeta_receptor2	CPI-SC074D3FFBC	ACVR1	0.089	0.005	0.057	0.034	0.041	0.051	0.045	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-SC0A978EC39	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-SC0A9057425	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-SC0EBF691F3	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC028D7588F	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-SC0D868E29E	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC07323E253	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0300AB2DF	ACVR2B	0.342	0.034	0.057	0.044	0.078	0.051	0.063	0.037
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-SC0A86600AA	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-SC0002A7A8F	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-SC01987CF29	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-SC0CC98A4B4	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0E6BCEC26	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-SC0FDDA8A63	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC04553E312	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC057B323A5	ACVR2B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC00485C63D	ACVR2B	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-SC020B01F65	ACVR2B	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0C1E0C4B7	ACVR2B	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0E62974F4	ACVR2B	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC04266947A	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC01D95B14C	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC0D05B755E	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC049520B40	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC0A6BE23E9	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC02AACC81C	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-SC02B778C0B	ACVR2B	0.492	0.281	0.24	0.22	0.078	0.178	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC0FB40175C	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC01C6EA11C	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC0F6C8C336	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC05824EDF4	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC0722594B0	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC09AFF0384	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC089058CD0	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-SC06C46F1A9	ACVR2B	0.188	0.209	0.287	0.239	0.078	0.178	0.106	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IbIIb_CFC1	CPI-SC0397B3290	ACVR2B	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-SC0C620668E	ACVR2B	0.017	0.027	0.002	0.009	0.077	0.051	0.071	0.074
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IcIIb_CFC1	CPI-SC0AB5E1FE3	ACVR2B	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-SC061F99EF4	ACVR2B	0.017	0.027	0.002	0.009	0.004	0.006	0.003	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	TGFR_AVR2B	CPI-SC017215F7F	ACVR2B	0.408	0.281	0.54	0.311	0.078	0.172	0.107	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	TGFR_AVR2B	CPI-SC08968AFE6	ACVR2B	0.408	0.281	0.54	0.311	0.078	0.172	0.107	0.108
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-SC00C9C81E3	ACVR1B	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0288FD89F	ACVR1B	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-SC0B3D321CC	ACVR1B	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0FA8B4931	ACVR1B	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC02D192370	ACVR1B	0.124	0.18	0.138	0.205	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-SC0A86600AA	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-SC0002A7A8F	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-SC01987CF29	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-SC0CC98A4B4	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0E6BCEC26	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-SC0FDDA8A63	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC04553E312	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC057B323A5	ACVR1B	0.556	0.214	0.2	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	BMPR1B_BMPR2_ACVR1B	CPI-CC0A69D0835	ACVR1B	0.188	0.091	0.159	0.205	0.077	0.051	0.071	0.074
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIa_CFC1	CPI-SC08F1D4358	ACVR1B	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-SC08C72892F	ACVR1B	0.017	0.027	0.002	0.009	0.077	0.051	0.071	0.063
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIb_CFC1	CPI-SC0397B3290	ACVR1B	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-SC0C620668E	ACVR1B	0.017	0.027	0.002	0.009	0.077	0.051	0.071	0.074
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0021FE823	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-SC0E760DE88	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0BDA1C176	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC08375F742	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC00485C63D	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-SC020B01F65	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC0C1E0C4B7	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC0E62974F4	ACVR1C	0.031	0.14	0.068	0.035	0.004	0.006	0.003	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	NODAL_receptor_IcIIb_CFC1	CPI-SC0AB5E1FE3	ACVR1C	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-SC061F99EF4	ACVR1C	0.017	0.027	0.002	0.009	0.004	0.006	0.003	0.0
BCR	P11274	True	BCR_HUMAN	BCR_CD45_CD22	CPI-SC0CF28722B	BCR	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0
PTPRC	P08575	True	PTPRC_HUMAN	BCR_CD45_CD22	CPI-SC0CF28722B	PTPRC	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0
CD22	P20273	True	CD22_HUMAN	BCR_CD45_CD22	CPI-SC0CF28722B	CD22	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0
FGFR4	P22455	True	FGFR4_HUMAN	BetaKlotho_FGFR4	CPI-SC068641E32	FGFR4	0.012	0.0	0.01	0.015	0.0	0.006	0.0	0.003
FGFR4	P22455	True	FGFR4_HUMAN	BetaKlotho_FGFR4	CPI-SC0601E173E	FGFR4	0.012	0.0	0.01	0.015	0.0	0.006	0.0	0.003
KLB	Q86Z14	True	KLOTB_HUMAN	BetaKlotho_FGFR4	CPI-SC068641E32	KLB	0.012	0.0	0.01	0.015	0.0	0.006	0.0	0.003
KLB	Q86Z14	True	KLOTB_HUMAN	BetaKlotho_FGFR4	CPI-SC0601E173E	KLB	0.012	0.0	0.01	0.015	0.0	0.006	0.0	0.003
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-SC070B9F112	BMPR1A	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-SC0915DDE22	BMPR1A	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-SC00D19A858	BMPR1A	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-SC0B1EBCCC6	BMPR1A	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-SC02AFDCE1F	BMPR1A	0.195	0.091	0.159	0.22	0.26	0.347	0.214	0.257
