id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interactors,classification,directionality,modulatory_effect
,Q8IZJ0,Type_III_IFNR,IFNL2_HUMAN,,curated,PMID:9208871,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IFNL2-IFNLR1+IL10RB,Signaling by Interferon,Ligand-Receptor,
,Q8IZI9,IL28_receptor,IFNL3_HUMAN,,curated,5t5w;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IFNL3-IFNLR1+IL10RB,Signaling by Interferon,Ligand-Receptor,
,Q8IZI9,Type_III_IFNR,IFNL3_HUMAN,,curated,PMID:9208871,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IFNL3-IFNLR1+IL10RB,Signaling by Interferon,Ligand-Receptor,
,P05000,Type_I_IFNR,IFNW1_HUMAN,,curated,PMID:9208871,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IFNW1-IFNAR1+IFNAR2,Signaling by Interferon,Ligand-Receptor,
,IL35,IL35_receptor,,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,EBI3+IL12A-IL12RB2+IL6ST,Signaling by Interleukin,Ligand-Receptor,
,IL27,IL27_receptor,,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,EBI3+IL27-IL27RA+IL6ST,Signaling by Interleukin,Ligand-Receptor,
,P22301,IL10_receptor,IL10_HUMAN,,curated,PDB:1j7v_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL10-IL10RA+IL10RB,Signaling by Interleukin,Ligand-Receptor,
,P20809,IL11_receptor,IL11_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL11-IL11RA+IL6ST,Signaling by Interleukin,Ligand-Receptor,
,IL12,IL12_receptor,,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL12A+IL12B-IL12RB1+IL12RB2,Signaling by Interleukin,Ligand-Receptor,
,IL23,IL23_receptor,,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL12B+IL23A-IL12RB1+IL23R,Signaling by Interleukin,Ligand-Receptor,
,P35225,IL13_receptor,IL13_HUMAN,,curated,3bpo;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL13-IL13RA1+IL4R,Signaling by Interleukin,Ligand-Receptor,
,P35225,Q14627,IL13_HUMAN,I13R2_HUMAN,curated,PMID:26471366,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL13-IL13RA2,Signaling by Interleukin,Ligand-Receptor,
,P40933,IL15_receptor,IL15_HUMAN,,curated,Need_expression_of_IL15RA_(Q13261)_in_other_cells._2z3q;PDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL15-IL15RA+IL2RB,Signaling by Interleukin,Ligand-Receptor,
,IL17_AF,IL17_receptor_AC,,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL17A+IL17F-IL17RA+IL17RC,Signaling by Interleukin,Ligand-Receptor,
,Q9P0M4,IL17_receptor_AE,IL17C_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL17C-IL17RA+IL17RE,Signaling by Interleukin,Ligand-Receptor,
,Q96PD4,IL17_receptor_AC,IL17F_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL17F-IL17RA+IL17RC,Signaling by Interleukin,Ligand-Receptor,
,Q14116,IL18_receptor,IL18_HUMAN,,curated,3wo3;PDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL18-IL18R1+IL18RAP,Signaling by Interleukin,Ligand-Receptor,
,Q9UHD0,IL20_receptor_Type_I,IL19_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL19-IL20RA+IL20RB,Signaling by Interleukin,Ligand-Receptor,
,P01583,IL1_receptor,IL1A_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1A-IL1R1+IL1RAP,Signaling by Interleukin,Ligand-Receptor,
,P01583,IL1_receptor_inhibitor,IL1A_HUMAN,,curated,low_affinity;uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1A-IL1R2+IL1RAP,Signaling by Interleukin,Ligand-Receptor,
,P01584,IL1_receptor,IL1B_HUMAN,,curated,4dep;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1B-IL1R1+IL1RAP,Signaling by Interleukin,Ligand-Receptor,
,P01584,IL1_receptor_inhibitor,IL1B_HUMAN,,curated,PDB:3o4o,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1B-IL1R2+IL1RAP,Signaling by Interleukin,Ligand-Receptor,
,Q8WWZ1,IL36_receptor,IL1FA_HUMAN,,curated,to_check,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1F10-IL1RAP+IL1RL2,Signaling by Interleukin,Ligand-Receptor,
,Q9NPH3,P10586,IL1AP_HUMAN,PTPRF_HUMAN,curated,Shilts screen - VALIDATED,True,JShilts,,,,,,CellPhoneDBcore4.1,IL1RAP-PTPRF,Signaling by Interleukin,Adhesion-Adhesion,
,P18510,IL1_receptor,IL1RA_HUMAN,,curated,1irPDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1RN-IL1R1+IL1RAP,Signaling by Interleukin,Ligand-Receptor,Inhibitory
,P18510,IL1_receptor_inhibitor,IL1RA_HUMAN,,curated,low_affinity,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL1RN-IL1R2+IL1RAP,Signaling by Interleukin,Ligand-Receptor,Inhibitory
,P60568,IL2_receptor_HA,IL2_HUMAN,,curated,2b5i;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL2-IL2RA+IL2RB+IL2RG,Signaling by Interleukin,Ligand-Receptor,
,P60568,IL2_receptor_I,IL2_HUMAN,,curated,3qaz;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL2-IL2RB+IL2RG,Signaling by Interleukin,Ligand-Receptor,
,Q9NYY1,IL20_receptor_Type_I,IL20_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL20-IL20RA+IL20RB,Signaling by Interleukin,Ligand-Receptor,
,Q9NYY1,IL20_receptor_Type_II,IL20_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL20-IL20RB+IL22RA1,Signaling by Interleukin,Ligand-Receptor,
,Q9HBE4,IL21_receptor,IL21_HUMAN,,curated,3tgPDB:\w+_partially;uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL21-IL21R+IL2RG,Signaling by Interleukin,Ligand-Receptor,
,Q9GZX6,IL22_receptor,IL22_HUMAN,,curated,3dgPDB:$4,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL22-IL10RB+IL22RA1,Signaling by Interleukin,Ligand-Receptor,
,Q13007,IL20_receptor_Type_I,IL24_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL24-IL20RA+IL20RB,Signaling by Interleukin,Ligand-Receptor,
,Q13007,IL20_receptor_Type_II,IL24_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL24-IL20RB+IL22RA1,Signaling by Interleukin,Ligand-Receptor,
,Q9H293,IL17_receptor_AB,IL25_HUMAN,,curated,NA_IL17E_called_IL25,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL25-IL17RA+IL17RB,Signaling by Interleukin,Ligand-Receptor,
,Q9NPH9,IL26_receptor,IL26_HUMAN,,curated,PMID:25421700,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL26-IL10RB+IL20RA,Signaling by Interleukin,Ligand-Receptor,
,P08700,IL3_receptor,IL3_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL3-CSF2RB+IL3RA,Signaling by Interleukin,Ligand-Receptor,
,O95760,IL33_receptor,IL33_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL33-IL1RAP+IL1RL1,Signaling by Interleukin,Ligand-Receptor,
,Q6ZMJ4,P07333,IL34_HUMAN,CSF1R_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL34-CSF1R,Signaling by Interleukin,Ligand-Receptor,
,Q9UHA7,IL36_receptor,IL36A_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL36A-IL1RAP+IL1RL2,Signaling by Interleukin,Ligand-Receptor,
,Q9NZH7,IL36_receptor,IL36B_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL36B-IL1RAP+IL1RL2,Signaling by Interleukin,Ligand-Receptor,
,Q9NZH8,IL36_receptor,IL36G_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL36G-IL1RAP+IL1RL2,Signaling by Interleukin,Ligand-Receptor,
,Q9UBH0,IL36_receptor,I36RA_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL36RN-IL1RAP+IL1RL2,Signaling by Interleukin,Ligand-Receptor,
,Q9NZH6,IL37_receptor,IL37_HUMAN,,curated,See_paper_Nold_Petry_et_al.;2015,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL37-IL18R1+SIGIRR,Signaling by Interleukin,Ligand-Receptor,
,P05112,IL13_receptor,IL4_HUMAN,,curated,PDB:3bpn,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL4-IL13RA1+IL4R,Signaling by Interleukin,Ligand-Receptor,
,P05112,IL4_receptor,IL4_HUMAN,,curated,3qb7;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL4-IL2RG+IL4R,Signaling by Interleukin,Ligand-Receptor,
,P05113,IL5_receptor,IL5_HUMAN,,curated,3qt2;PDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL5-CSF2RB+IL5RA,Signaling by Interleukin,Ligand-Receptor,
,P05231,IL6_receptor,IL6_HUMAN,,curated,1p9m;PDB,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL6-IL6R+IL6ST,Signaling by Interleukin,Ligand-Receptor,
,P13232,IL7_receptor,IL7_HUMAN,,curated,3di2;PDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL7-IL2RG+IL7R,Signaling by Interleukin,Ligand-Receptor,
,P15248,IL9_receptor,IL9_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,IL9-IL2RG+IL9R,Signaling by Interleukin,Ligand-Receptor,
,Q8TD07,NKG2D_II_receptor,N2DL4_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,RAET1E-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,Q6H3X3,NKG2D_II_receptor,RET1G_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,RAET1G-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,Q5VY80,NKG2D_II_receptor,RET1L_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577._4s0u;PDB_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,RAET1L-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,Q9BZM6,NKG2D_II_receptor,N2DL1_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,ULBP1-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,Q9BZM5,NKG2D_II_receptor,N2DL2_HUMAN,,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,ULBP2-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,Q9BZM4,NKG2D_II_receptor,N2DL3_HUMAN,,curated,Induces_NK_Cell_Activation;PMID:24223577;PDB:1kcg_partially,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,ULBP3-HCST+KLRK1,Signaling by Killer Cell Lectin Like Receptor K1,Ligand-Receptor,
,P01042,P46663,KNG1_HUMAN,BKRB1_HUMAN,curated,uniprot;reactome,True,LGarciaAlonso,R-HSA-374321,,,,,CellPhoneDBcore<=4.1,KNG1-BDKRB1,Signaling by Kininogen,Ligand-Receptor,
,P01042,P30411,KNG1_HUMAN,BKRB2_HUMAN,curated,uniprot;reactome,True,LGarciaAlonso,R-HSA-374321,,,,,CellPhoneDBcore<=4.1,KNG1-BDKRB2,Signaling by Kininogen,Ligand-Receptor,
,P01042,Q8TDU9,KNG1_HUMAN,RL3R2_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,KNG1-RXFP4,Signaling by Kininogen,Ligand-Receptor,
,O75610,P13385,LFTY1_HUMAN,TDGF1_HUMAN,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,LEFTY1-TDGF1,Signaling by Left-right determination factor,Ligand-Receptor,Inhibitory
,O00292,P13385,LFTY2_HUMAN,TDGF1_HUMAN,curated,PMID:22710174,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,LEFTY2-TDGF1,Signaling by Left-right determination factor,Ligand-Receptor,Inhibitory
,Q6UVW9,D3W0D1,CLC2A_HUMAN,KLRF2_HUMAN,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CLEC2A-KLRF2,Signaling by Leptin,Ligand-Receptor,
,Q92478,Q9NZS2,CLC2B_HUMAN,KLRF1_HUMAN,curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,CLEC2B-KLRF1,Signaling by Leptin,Ligand-Receptor,
,Q9NT99,P23468,LRC4B_HUMAN,PTPRD_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRC4B-PTPRD,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q9NT99,P10586,LRC4B_HUMAN,PTPRF_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRC4B-PTPRF,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q9NT99,Q13332,LRC4B_HUMAN,PTPRS_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRC4B-PTPRS,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q9HCJ2,P10586,LRC4C_HUMAN,PTPRF_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRC4C-PTPRF,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q6PJG9,P23468,LRFN4_HUMAN,PTPRD_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN4-PTPRD,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q6PJG9,P10586,LRFN4_HUMAN,PTPRF_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN4-PTPRF,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q6PJG9,Q13332,LRFN4_HUMAN,PTPRS_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN4-PTPRS,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q96NI6,P23468,LRFN5_HUMAN,PTPRD_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN5-PTPRD,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q96NI6,P10586,LRFN5_HUMAN,PTPRF_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN5-PTPRF,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q96NI6,Q13332,LRFN5_HUMAN,PTPRS_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRFN5-PTPRS,Signaling by Leucine Rich Repeat And Fibronectin,Ligand-Receptor,
,Q86UE6,Q9ULB1,LRRT1_HUMAN,NRX1A_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM1-NRXN1,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86UE6,P58401,LRRT1_HUMAN,NRX2B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM1-NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86UE6,Q9HDB5,LRRT1_HUMAN,NRX3B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM1-NRXN3,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,O43300,Q9ULB1,LRRT2_HUMAN,NRX1A_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM2-NRXN1,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,O43300,P58401,LRRT2_HUMAN,NRX2B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM2-NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,O43300,Q9HDB5,LRRT2_HUMAN,NRX3B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM2-NRXN3,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH5,Q9ULB1,LRRT3_HUMAN,NRX1A_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM3-NRXN1,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH5,P58401,LRRT3_HUMAN,NRX2B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM3-NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH5,Q9HDB5,LRRT3_HUMAN,NRX3B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM3-NRXN3,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH4,Q9ULB1,LRRT4_HUMAN,NRX1A_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM4-NRXN1,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH4,P58401,LRRT4_HUMAN,NRX2B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM4-NRXN2,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH4,Q9HDB5,LRRT4_HUMAN,NRX3B_HUMAN,curated,PMID:29100073,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM4-NRXN3,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,Q86VH4,Q13332,LRRT4_HUMAN,PTPRS_HUMAN,curated,PMID:29100073;PMID:34966732,True,JCranley,,,,,,CellPhoneDBcore4.1,LRRTM4-PTPRS,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,P13591,O00468,NCAM1_HUMAN,AGRIN_HUMAN,curated,reactome,True,LGarciaAlonso,,R-HSA-2467659,,,,CellPhoneDBcore<=4.1,NCAM1-AGRN,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein,Ligand-Receptor,
,LeukotrieneE4_byDPEP1,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,DPEP1-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneE4_byDPEP1,Q9NS75,,CLTR2_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,DPEP1-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneE4_byDPEP2,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,DPEP2-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneE4_byDPEP2,Q9NS75,,CLTR2_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,DPEP2-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneE4_byDPEP3,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,DPEP3-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneE4_byDPEP3,Q9NS75,,CLTR2_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,DPEP3-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LTD4_byGGT1,Q9Y271,,CLTR1_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,GGT1-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LTD4_byGGT1,Q9NS75,,CLTR2_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,GGT1-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneD4_byGGT1,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,GGT1+GGT5-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneD4_byGGT1,Q9NS75,,CLTR2_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,GGT1+GGT5-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneD4_byGGT1,Q13304,,GPR17_HUMAN,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-391937,,,,CellPhoneDBcore<=4.1,GGT1+GGT5-GPR17,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneB4_byLTA4H,Q13304,,GPR17_HUMAN,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-391937,,,,CellPhoneDBcore<=4.1,LTA4H-GPR17,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneB4_byLTA4H,Q15722,,LT4R1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391941,,,,CellPhoneDBcore<=4.1,LTA4H-LTB4R,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneB4_byLTA4H,Q9NPC1,,LT4R2_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391941,,,,CellPhoneDBcore<=4.1,LTA4H-LTB4R2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,Q06643,P36941,TNFC_HUMAN,TNR3_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,LTB-LTBR,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LTC4_byLTC4S,Q9Y271,,CLTR1_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,LTC4S-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LTC4_byLTC4S,Q9NS75,,CLTR2_HUMAN,curated,uniprot;reactome;IUPHAR,False,JCranley,,,,,,CellPhoneDBcore4.1,LTC4S-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,12oxoLeukotrieneB4_byPTGR1,Q15722,,LT4R1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,R-HSA-416435,R-HSA-391941,,,,CellPhoneDBcore<=4.1,PTGR1-LTB4R,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,12oxoLeukotrieneB4_byPTGR1,Q9NPC1,,LT4R2_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,R-HSA-416435,R-HSA-391941,,,,CellPhoneDBcore<=4.1,PTGR1-LTB4R2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LipoxinA4_byALOX12,Q9Y271,,CLTR1_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,ALOX12-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LipoxinA4_byALOX12,P25090,,FPR2_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,ALOX12-FPR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneC4_byLTC4S,Q9Y271,,CLTR1_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,ALOX5+ALOX5AP+LTC4S-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LipoxinA4_byALOX5,Q9Y271,,CLTR1_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,ALOX5+ALOX5AP+LTC4S-CYSLTR1,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneC4_byLTC4S,Q9NS75,,CLTR2_HUMAN,curated,HMRbase;uniprot;reactome,False,LGarciaAlonso,,R-HSA-391943,,,,CellPhoneDBcore<=4.1,ALOX5+ALOX5AP+LTC4S-CYSLTR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LipoxinA4_byALOX5,P25090,,FPR2_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1,ALOX5+ALOX5AP+LTC4S-FPR2,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
,LeukotrieneC4_byLTC4S,Q13304,,GPR17_HUMAN,curated,uniprot;reactome,False,LGarciaAlonso,,R-HSA-391937,,,,CellPhoneDBcore<=4.1,ALOX5+ALOX5AP+LTC4S-GPR17,Signaling by Lipoxin/Leukotriene,Ligand-Receptor,
